open_time,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2025-01-30 01:25:00,3.1097,3.1097,3.1097,3.1097,130.0,1738200359999,404.26100,1,0,0,0
2025-01-30 01:26:00,3.2197,3.2298,3.2197,3.2298,1192.1,1738200419999,3848.30437,4,1192.1,3848.30437,0
2025-01-30 01:27:00,3.1097,3.1097,3.1097,3.1097,131.7,1738200479999,409.54749,2,0,0,0
2025-01-30 01:28:00,3.1097,3.1100,3.1097,3.1100,134.7,1738200539999,418.87890,2,7.7,23.94700,0
2025-01-30 01:29:00,3.1097,3.1097,3.1097,3.1097,125.1,1738200599999,389.02347,1,0,0,0
2025-01-30 01:30:00,3.1097,3.1097,3.1032,3.1032,1042.7,1738200659999,3239.06084,7,0,0,0
2025-01-30 01:31:00,3.1032,3.1032,3.1032,3.1032,0,1738200719999,0,0,0,0,0
2025-01-30 01:32:00,3.1045,3.2096,3.1045,3.2096,1121.7,1738200779999,3587.41765,3,1000.0,3209.60000,0
2025-01-30 01:33:00,3.1096,3.1096,3.0996,3.0996,119.1,1738200839999,370.27636,2,0,0,0
2025-01-30 01:34:00,3.0996,3.0996,3.0996,3.0996,115.4,1738200899999,357.69384,1,0,0,0
2025-01-30 01:35:00,3.0996,3.0996,3.0996,3.0996,113.6,1738200959999,352.11456,1,0,0,0
2025-01-30 01:36:00,3.1068,3.1068,3.0996,3.0996,112.3,1738201019999,348.40980,2,0,0,0
2025-01-30 01:37:00,3.0996,3.0996,3.0996,3.0996,0,1738201079999,0,0,0,0,0
2025-01-30 01:38:00,3.1017,3.1017,3.0996,3.0996,111.3,1738201139999,345.08019,2,0,0,0
2025-01-30 01:39:00,3.1034,3.1034,3.0996,3.0996,109.5,1738201199999,339.57758,2,0,0,0
2025-01-30 01:40:00,3.1018,3.1018,3.0996,3.0996,655.7,1738201259999,2032.50694,4,45.1,139.79196,0
2025-01-30 01:41:00,3.0996,3.0996,3.0995,3.0995,114.0,1738201319999,353.34377,2,7.7,23.86692,0
2025-01-30 01:42:00,3.0996,3.0996,3.0996,3.0996,45.1,1738201379999,139.79196,1,45.1,139.79196,0
2025-01-30 01:43:00,3.0996,3.0996,3.0995,3.0995,148.9,1738201439999,461.52006,2,45.1,139.79196,0
2025-01-30 01:44:00,3.0996,3.0996,3.0995,3.0996,1619.4,1738201499999,5019.48202,3,1517.2,4702.71312,0
2025-01-30 01:45:00,3.0996,3.0996,3.0995,3.0996,243.5,1738201559999,754.74276,3,145.1,449.75196,0
2025-01-30 01:46:00,3.0996,3.0996,3.0995,3.0995,1294.8,1738201619999,4013.35238,3,1197.8,3712.70088,0
2025-01-30 01:47:00,3.0995,3.0995,3.0995,3.0995,0,1738201679999,0,0,0,0,0
2025-01-30 01:48:00,3.0995,3.0995,3.0995,3.0995,111.9,1738201739999,346.83405,2,0,0,0
